client;email;produit;quantite;prixUnitaire;prixTotal;dateCommande
MEKSEM;meksemfatima@gmail.com;Tee shirt NIKE;4;17.00;68.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt UMBRO;7;13.00;91.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt ADIDAS;9;16.00;144.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt PUMA;3;15.00;45.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt UMBRO;2;13.00;26.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt PUMA;7;15.00;105.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt ADIDAS;9;16.00;144.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt PUMA;1;15.00;15.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt ADIDAS;6;16.00;96.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt UMBRO;2;13.00;26.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt NIKE;4;17.00;68.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt UMBRO;1;13.00;13.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt PUMA;3;15.00;45.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt NIKE;4;17.00;68.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt UMBRO;9;13.00;117.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt PUMA;5;15.00;75.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt ADIDAS;1;16.00;16.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt UMBRO;9;13.00;117.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt NIKE;2;17.00;34.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt PUMA;4;15.00;60.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt ADIDAS;3;16.00;48.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt NIKE;7;17.00;119.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt NIKE;4;17.00;68.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt ADIDAS;9;16.00;144.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt UMBRO;4;13.00;52.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt PUMA;5;15.00;75.00;2025-08-20
ZIDANE;zz@gmail.com;Tee shirt UMBRO;4;13.00;52.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt UMBRO;7;13.00;91.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt ADIDAS;8;16.00;128.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt PUMA;5;15.00;75.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt ADIDAS;8;16.00;128.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt NIKE;9;17.00;153.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt UMBRO;6;13.00;78.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt ADIDAS;4;16.00;64.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt ADIDAS;6;16.00;96.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt UMBRO;9;13.00;117.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt NIKE;9;17.00;153.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt PUMA;9;15.00;135.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt NIKE;1;17.00;17.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt ADIDAS;2;16.00;32.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt NIKE;2;17.00;34.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt PUMA;8;15.00;120.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt ADIDAS;9;16.00;144.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;7;15.00;105.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;5;16.00;80.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt UMBRO;7;13.00;91.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;3;15.00;45.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt NIKE;7;17.00;119.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;3;16.00;48.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt UMBRO;4;13.00;52.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;7;15.00;105.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;4;16.00;64.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;9;15.00;135.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt UMBRO;6;13.00;78.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;9;16.00;144.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt NIKE;4;17.00;68.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt UMBRO;2;13.00;26.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;7;16.00;112.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;3;15.00;45.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt UMBRO;1;13.00;13.00;2025-08-20
BAGGIO;robertobaggio@gmail.com;Tee shirt NIKE;3;17.00;51.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt ADIDAS;1;16.00;16.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt PUMA;1;15.00;15.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt NIKE;6;17.00;102.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt UMBRO;3;13.00;39.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt ADIDAS;7;16.00;112.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt UMBRO;8;13.00;104.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt PUMA;5;15.00;75.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt NIKE;1;17.00;17.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt PUMA;3;15.00;45.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt UMBRO;6;13.00;78.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt UMBRO;7;13.00;91.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt ADIDAS;4;16.00;64.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt NIKE;8;17.00;136.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt NIKE;7;17.00;119.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt ADIDAS;6;16.00;96.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt UMBRO;5;13.00;65.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt UMBRO;8;13.00;104.00;2025-08-20
MEKSEM;meksemfatima@gmail.com;Tee shirt NIKE;1;17.00;17.00;2025-08-20
